#-1:log(n0)/(cm^-3)  2:v0/(km/s)  3:FWHM/um. Aus SED_R60000_inter/*
9 20 0.000575505
9 30 4.92352e-05
9 40 6.34587e-05
9 50 7.43999e-05
9 60 8.20587e-05
9 70 7.98705e-05
9 80 8.09646e-05
9 90 8.31529e-05
9 100 9.08117e-05
9 110 9.08117e-05
9 120 9.08118e-05
9 130 8.97176e-05
9 140 9.3e-05
9 150 9.19059e-05
9 160 9.1906e-05
9 170 8.97177e-05
9 180 8.53413e-05
9 190 7.76825e-05
9 200 7.98707e-05

10 20 0.000575505
10 30 4.92352e-05
10 40 6.34587e-05
10 50 7.33058e-05
10 60 7.98705e-05
10 70 7.76823e-05
10 80 7.65882e-05
10 90 7.98705e-05
10 100 7.98705e-05
10 110 7.76823e-05
10 120 7.98706e-05
10 130 8.20588e-05
10 140 8.20588e-05
10 150 8.09647e-05
10 160 9.84706e-05
10 170 0.000103941
10 180 7.87766e-05
10 190 8.2059e-05
10 200 8.42472e-05

11 20 0.000575505
11 30 4.92352e-05
11 40 6.34587e-05
11 50 7.33058e-05
11 60 7.65882e-05
11 70 7.11176e-05
11 80 7.33058e-05
11 90 7.76823e-05
11 100 8.4247e-05
11 110 8.86235e-05
11 120 8.86235e-05
11 130 9.08118e-05
11 140 9.19059e-05
11 150 9.3e-05
11 160 9.51883e-05
11 170 9.62824e-05
11 180 9.84707e-05
11 190 0.000101753
11 200 0.000101753

12 20 0.000575505
12 30 4.92352e-05
12 40 6.34587e-05
12 50 7.22117e-05
12 60 7.11176e-05
12 70 7.5494e-05
12 80 8.31529e-05
12 90 8.97176e-05
12 100 0.000101753
12 110 0.000109412
12 120 0.000113788
12 130 0.000114882
12 140 0.000123635
12 150 0.000121447
12 160 0.000120353
12 170 0.000119259
12 180 0.000133483
12 190 0.000132388
12 200 0.000379659

13 20 0.000575505
13 30 5.25176e-05
13 40 7.43999e-05
13 50 8.31528e-05
13 60 9.73764e-05
13 70 0.000106129
13 80 0.000119259
13 90 0.000134576
13 100 0.000147706
13 110 0.000158647
13 120 0.000166306
13 130 0.000173965
13 140 0.000184906
13 150 0.000199129
13 160 0.00021773
13 170 0.000257118
13 180 0.000272436
13 190 0.000274624
13 200 0.000279

14 20 3.72e-05
14 30 7.87764e-05
14 40 0.000101753
14 50 0.000122541
14 60 0.000141141
14 70 0.00015427
14 80 0.000168494
14 90 0.000186
14 100 0.000207882
14 110 0.000225388
14 120 0.000242894
14 130 0.000263682
14 140 0.000276812
14 150 0.000293224
14 160 0.000304165
14 170 0.000314012
14 180 0.000322765
14 190 0.00032933
14 200 0.000333706

