#Wavelength[A]	Energy Flux Density[erg/s/A/cm2]
         6564.667347 	     1.1158561319e+02
         6564.622749 	     1.1459540105e+02
         6564.578152 	     1.1773061688e+02
         6564.533555 	     1.2099867474e+02
         6564.488959 	     1.2440769687e+02
         6564.444364 	     1.2796664291e+02
         6564.399769 	     1.3168550158e+02
         6564.355174 	     1.3557556859e+02
         6564.310581 	     1.3964980631e+02
         6564.265988 	     1.4392341300e+02
         6564.221395 	     1.4841455172e+02
         6564.176803 	     1.5314542497e+02
         6564.132212 	     1.5814382966e+02
         6564.087621 	     1.6344526833e+02
         6564.043031 	     1.6909597768e+02
         6563.998442 	     1.7515709378e+02
         6563.953853 	     1.8171052619e+02
         6563.909265 	     1.8886690207e+02
         6563.864677 	     1.9677657397e+02
         6563.820090 	     2.0564442349e+02
         6563.775504 	     2.1574992708e+02
         6563.730918 	     2.2747380430e+02
         6563.686333 	     2.4133345211e+02
         6563.641748 	     2.5802930227e+02
         6563.597164 	     2.7850536285e+02
         6563.552581 	     3.0402723524e+02
         6563.507998 	     3.3628180204e+02
         6563.463416 	     3.7750383730e+02
         6563.418834 	     4.3063462016e+02
         6563.374253 	     4.9951960141e+02
         6563.329673 	     5.8915160021e+02
         6563.285093 	     7.0596764019e+02
         6563.240514 	     8.5820776030e+02
         6563.195936 	     1.0563436523e+03
         6563.151358 	     1.3135867937e+03
         6563.106780 	     1.6464830959e+03
         6563.062204 	     2.0756030852e+03
         6563.017627 	     2.6263341190e+03
         6562.973052 	     3.3297795221e+03
         6562.928477 	     4.2237719093e+03
         6562.883903 	     5.3540010073e+03
         6562.839329 	     6.7752623057e+03
         6562.794756 	     8.5528287950e+03
         6562.750183 	     1.0763956614e+04
         6562.705611 	     1.3499535141e+04
         6562.661040 	     1.6865914947e+04
         6562.616470 	     2.0986966977e+04
         6562.571899 	     2.6006468780e+04
         6562.527330 	     3.2090973630e+04
         6562.482761 	     3.9433440432e+04
         6562.438193 	     4.8258056928e+04
         6562.393625 	     5.8826965822e+04
         6562.349058 	     7.1450011486e+04
         6562.304492 	     8.6499290624e+04
         6562.259926 	     1.0443116783e+05
         6562.215361 	     1.2581971398e+05
         6562.170796 	     1.5140703307e+05
         6562.126232 	     1.8217740367e+05
         6562.081669 	     2.1946132707e+05
         6562.037106 	     2.6508292644e+05
         6561.992544 	     3.2152777840e+05
         6561.947982 	     3.9213337119e+05
         6561.903421 	     4.8123658648e+05
         6561.858861 	     5.9417974427e+05
         6561.814301 	     7.3702599473e+05
         6561.769742 	     9.1580968327e+05
         6561.725183 	     1.1352057480e+06
         6561.680625 	     1.3966985526e+06
         6561.636068 	     1.6966699888e+06
         6561.591511 	     2.0251848091e+06
         6561.546955 	     2.3663401087e+06
         6561.502399 	     2.7006025104e+06
         6561.457845 	     3.0086225285e+06
         6561.413290 	     3.2751789540e+06
         6561.368736 	     3.4914055089e+06
         6561.324183 	     3.6551355946e+06
         6561.279631 	     3.7690628964e+06
         6561.235079 	     3.8380015340e+06
