#Wavelength[A]	Energy Flux Density[erg/s/A/cm2]
         6561.190528 	     3.8663501411e+06
         6561.145977 	     3.8563234342e+06
         6561.101427 	     3.8070813633e+06
         6561.056877 	     3.7147517074e+06
         6561.012328 	     3.5734261646e+06
         6560.967780 	     3.3772560876e+06
         6560.923232 	     3.1235124534e+06
         6560.878685 	     2.8158234800e+06
         6560.834139 	     2.4662282031e+06
         6560.789593 	     2.0940731457e+06
         6560.745048 	     1.7228755953e+06
         6560.700503 	     1.3751515627e+06
         6560.655959 	     1.0678957900e+06
         6560.611416 	     8.1029727807e+05
         6560.566873 	     6.0391845281e+05
         6560.522331 	     4.4466106913e+05
         6560.477789 	     3.2530065528e+05
         6560.433248 	     2.3768246980e+05
         6560.388708 	     1.7417430313e+05
         6560.344168 	     1.2838128254e+05
         6560.299629 	     9.5325725832e+04
         6560.255090 	     7.1324560283e+04
         6560.210552 	     5.3743436242e+04
         6560.166015 	     4.0735859304e+04
         6560.121478 	     3.1018565871e+04
         6560.076942 	     2.3698467414e+04
         6560.032406 	     1.8148239013e+04
         6559.987871 	     1.3920782073e+04
         6559.943337 	     1.0691987583e+04
         6559.898803 	     8.2228901689e+03
         6559.854270 	     6.3346421834e+03
         6559.809737 	     4.8917680052e+03
         6559.765205 	     3.7907395452e+03
         6559.720674 	     2.9519838838e+03
         6559.676143 	     2.3141465513e+03
         6559.631613 	     1.8298689218e+03
         6559.587083 	     1.4626171322e+03
         6559.542555 	     1.1842589625e+03
         6559.498026 	     9.7319225814e+02
         6559.453498 	     8.1288674670e+02
         6559.408971 	     6.9074295483e+02
         6559.364445 	     5.9720198717e+02
         6559.319919 	     5.2504235301e+02
         6559.275394 	     4.6883486863e+02
         6559.230869 	     4.2451690356e+02
         6559.186345 	     3.8906226289e+02
         6559.141821 	     3.6022643241e+02
         6559.097298 	     3.3635120877e+02
         6559.052776 	     3.1621574216e+02
         6559.008255 	     2.9892349347e+02
         6558.963733 	     2.8381701284e+02
         6558.919213 	     2.7041436342e+02
         6558.874693 	     2.5836174490e+02
         6558.830174 	     2.4739843983e+02
         6558.785655 	     2.3733128494e+02
         6558.741137 	     2.2801579811e+02
         6558.696620 	     2.1934270520e+02
         6558.652103 	     2.1122814374e+02
         6558.607587 	     2.0360655483e+02
         6558.563071 	     1.9642576464e+02
         6558.518556 	     1.8964336531e+02
         6558.474042 	     1.8322413729e+02
         6558.429528 	     1.7713831531e+02
         6558.385015 	     1.7136024881e+02
         6558.340502 	     1.6586753131e+02
         6558.295990 	     1.6064028266e+02
         6558.251479 	     1.5566071531e+02
         6558.206968 	     1.5091272822e+02
         6558.162458 	     1.4638173375e+02
         6558.117948 	     1.4205434243e+02
         6558.073439 	     1.3791828488e+02
         6558.028931 	     1.3396224375e+02
         6557.984423 	     1.3017576862e+02
         6557.939916 	     1.2654917845e+02
         6557.895409 	     1.2307348939e+02
         6557.850903 	     1.1974035475e+02
         6557.806398 	     1.1654200680e+02
         6557.761893 	     1.1347121228e+02
         6557.717389 	     1.1052120589e+02
         6557.672885 	     1.0768569247e+02
         6557.628382 	     1.0495877532e+02
         6557.583880 	     1.0233492881e+02
