#Wavelength[A]	Energy Flux Density[erg/s/A/cm2]
         6561.764175 	     4.4535026942e+07
         6561.712932 	     4.5322386894e+07
         6561.661691 	     4.5848531322e+07
         6561.610450 	     4.6181241858e+07
         6561.559210 	     4.6392711753e+07
         6561.507971 	     4.6553795164e+07
         6561.456732 	     4.6727078010e+07
         6561.405494 	     4.6963234590e+07
         6561.354258 	     4.7299921638e+07
         6561.303022 	     4.7762026140e+07
         6561.251786 	     4.8362206485e+07
         6561.200552 	     4.9101143399e+07
         6561.149318 	     4.9967270707e+07
         6561.098085 	     5.0935983595e+07
         6561.046853 	     5.1968519005e+07
         6560.995622 	     5.3010857649e+07
         6560.944392 	     5.3993221199e+07
         6560.893162 	     5.4831025543e+07
         6560.841933 	     5.5428420641e+07
         6560.790705 	     5.5685790788e+07
         6560.739478 	     5.5511931031e+07
         6560.688252 	     5.4836439113e+07
         6560.637026 	     5.3631732683e+07
         6560.585801 	     5.1908439829e+07
         6560.534577 	     4.9628860521e+07
         6560.483354 	     4.6176339507e+07
         6560.432131 	     4.0111414754e+07
         6560.380910 	     3.1429116026e+07
         6560.329689 	     2.2376905238e+07
         6560.278469 	     1.4979410932e+07
         6560.227250 	     9.7823954251e+06
         6560.176031 	     6.4168499676e+06
         6560.124814 	     4.3119331390e+06
         6560.073597 	     3.0019752510e+06
         6560.022381 	     2.1756639922e+06
         6559.971165 	     1.6416783367e+06
         6559.919951 	     1.2862548660e+06
         6559.868737 	     1.0421042359e+06
         6559.817525 	     8.6900172696e+05
         6559.766313 	     7.4243963262e+05
         6559.715101 	     6.4714850079e+05
         6559.663891 	     5.7339647518e+05
         6559.612681 	     5.1484512331e+05
         6559.561472 	     4.6728040602e+05
         6559.510264 	     4.2784353870e+05
         6559.459057 	     3.9455546011e+05
         6559.407851 	     3.6601771992e+05
         6559.356645 	     3.4122213435e+05
         6559.305440 	     3.1942748012e+05
         6559.254236 	     3.0007826333e+05
         6559.203033 	     2.8275126578e+05
         6559.151830 	     2.6711881442e+05
         6559.100629 	     2.5292397503e+05
         6559.049428 	     2.3996209145e+05
         6558.998228 	     2.2806850115e+05
         6558.947029 	     2.1710920253e+05
         6558.895830 	     2.0697390169e+05
         6558.844633 	     1.9757083373e+05
         6558.793436 	     1.8882282657e+05
         6558.742240 	     1.8066430681e+05
         6558.691044 	     1.7303901748e+05
         6558.639850 	     1.6589824569e+05
         6558.588656 	     1.5919944212e+05
         6558.537463 	     1.5290518319e+05
         6558.486271 	     1.4698232404e+05
         6558.435080 	     1.4140132591e+05
         6558.383890 	     1.3613573483e+05
         6558.332700 	     1.3116176044e+05
         6558.281511 	     1.2645790997e+05
         6558.230323 	     1.2200470206e+05
         6558.179136 	     1.1778444285e+05
         6558.127949 	     1.1378100087e+05
         6558.076764 	     1.0997964633e+05
         6558.025579 	     1.0636689844e+05
         6557.974395 	     1.0293039424e+05
         6557.923212 	     9.9658777525e+04
         6557.872029 	     9.6541602841e+04
         6557.820847 	     9.3569242365e+04
         6557.769667 	     9.0732811667e+04
         6557.718487 	     8.8024106817e+04
         6557.667307 	     8.5435528488e+04
         6557.616129 	     8.2960044219e+04
         6557.564951 	     8.0591134288e+04
         6557.513774 	     7.8322736573e+04
         6557.462598 	     7.6149220698e+04
         6557.411423 	     7.4065342263e+04
         6557.360248 	     7.2066221784e+04
         6557.309075 	     7.0147304456e+04
         6557.257902 	     6.8304338841e+04
         6557.206730 	     6.6533355312e+04
         6557.155558 	     6.4830639231e+04
         6557.104388 	     6.3192712764e+04
         6557.053218 	     6.1616318988e+04
