#Wavelength[A]	Energy Flux Density[erg/s/A/cm2]
         6565.199242 	     6.4486809057e+04
         6565.147946 	     6.6180465142e+04
         6565.096651 	     6.7941987499e+04
         6565.045356 	     6.9775070029e+04
         6564.994063 	     7.1683658530e+04
         6564.942770 	     7.3671984994e+04
         6564.891478 	     7.5744577014e+04
         6564.840186 	     7.7906297876e+04
         6564.788896 	     8.0162375616e+04
         6564.737606 	     8.2518432129e+04
         6564.686317 	     8.4980530263e+04
         6564.635029 	     8.7555227406e+04
         6564.583742 	     9.0249612848e+04
         6564.532455 	     9.3071406534e+04
         6564.481170 	     9.6029025642e+04
         6564.429885 	     9.9131695189e+04
         6564.378601 	     1.0238958941e+05
         6564.327317 	     1.0581399399e+05
         6564.276035 	     1.0941756420e+05
         6564.224753 	     1.1321459898e+05
         6564.173472 	     1.1722146312e+05
         6564.122192 	     1.2145711611e+05
         6564.070913 	     1.2594381809e+05
         6564.019635 	     1.3070807274e+05
         6563.968357 	     1.3578187075e+05
         6563.917080 	     1.4120431787e+05
         6563.865804 	     1.4702373603e+05
         6563.814529 	     1.5330041422e+05
         6563.763254 	     1.6011011493e+05
         6563.711981 	     1.6754849850e+05
         6563.660708 	     1.7573667634e+05
         6563.609436 	     1.8482811383e+05
         6563.558164 	     1.9501704513e+05
         6563.506894 	     2.0654866881e+05
         6563.455624 	     2.1973128957e+05
         6563.404355 	     2.3495070737e+05
         6563.353087 	     2.5268689189e+05
         6563.301820 	     2.7353340420e+05
         6563.250554 	     2.9821948578e+05
         6563.199288 	     3.2763579737e+05
         6563.148023 	     3.6286373181e+05
         6563.096759 	     4.0521045567e+05
         6563.045496 	     4.5625205319e+05
         6562.994233 	     5.1788855160e+05
         6562.942972 	     5.9241685407e+05
         6562.891711 	     6.8263281479e+05
         6562.840451 	     7.9197701151e+05
         6562.789192 	     9.2474688605e+05
         6562.737933 	     1.0864052201e+06
         6562.686675 	     1.2840305625e+06
         6562.635419 	     1.5269689411e+06
         6562.584163 	     1.8277795367e+06
         6562.532907 	     2.2036063751e+06
         6562.481653 	     2.6781988733e+06
         6562.430399 	     3.2849446309e+06
         6562.379146 	     4.0715023476e+06
         6562.327894 	     5.1068993952e+06
         6562.276643 	     6.4920306668e+06
         6562.225393 	     8.3734975383e+06
         6562.174143 	     1.0956171257e+07
         6562.122894 	     1.4496721084e+07
         6562.071646 	     1.9230977396e+07
         6562.020399 	     2.5159533527e+07
         6561.969152 	     3.1686258219e+07
         6561.917907 	     3.7485850782e+07
         6561.866662 	     4.1337882875e+07
         6561.815418 	     4.3370579654e+07
