#Wavelength[A]	Energy Flux Density[erg/s/A/cm2]
         6557.423939 	     2.0799025282e+05
         6557.356092 	     2.0054645259e+05
         6557.288247 	     1.9349763808e+05
         6557.220403 	     1.8681609219e+05
         6557.152561 	     1.8047653792e+05
         6557.084720 	     1.7445585276e+05
         6557.016880 	     1.6873283819e+05
         6556.949042 	     1.6328814396e+05
         6556.881205 	     1.5810393482e+05
         6556.813370 	     1.5316377541e+05
         6556.745536 	     1.4845252453e+05
         6556.677703 	     1.4395619801e+05
         6556.609872 	     1.3966187085e+05
         6556.542042 	     1.3555758848e+05
         6556.474214 	     1.3163225330e+05
         6556.406387 	     1.2787557823e+05
         6556.338562 	     1.2427800763e+05
         6556.270738 	     1.2083065068e+05
         6556.202915 	     1.1752524387e+05
         6556.135094 	     1.1435406678e+05
         6556.067274 	     1.1130994166e+05
         6555.999455 	     1.0838613503e+05
         6555.931638 	     1.0557638515e+05
         6555.863822 	     1.0287481430e+05
         6555.796008 	     1.0027593516e+05
         6555.728195 	     9.7774570347e+04
