#Wavelength[A]	Energy Flux Density[erg/s/A/cm2]
         6566.528097 	     1.0087084734e+05
         6566.460062 	     1.0350261290e+05
         6566.392028 	     1.0623899703e+05
         6566.323996 	     1.0908563268e+05
         6566.255965 	     1.1204855060e+05
         6566.187936 	     1.1513418620e+05
         6566.119908 	     1.1834945416e+05
         6566.051881 	     1.2170175336e+05
         6565.983856 	     1.2519903832e+05
         6565.915832 	     1.2884983867e+05
         6565.847809 	     1.3266336691e+05
         6565.779788 	     1.3664956189e+05
         6565.711769 	     1.4081916637e+05
         6565.643751 	     1.4518385565e+05
         6565.575734 	     1.4975632155e+05
         6565.507718 	     1.5455046168e+05
         6565.439705 	     1.5958156586e+05
         6565.371692 	     1.6486655324e+05
         6565.303681 	     1.7042434206e+05
         6565.235671 	     1.7627622414e+05
         6565.167663 	     1.8244645993e+05
         6565.099656 	     1.8896307880e+05
         6565.031650 	     1.9585896653e+05
         6564.963646 	     2.0317313272e+05
         6564.895644 	     2.1095261625e+05
         6564.827642 	     2.1925495428e+05
         6564.759642 	     2.2815150328e+05
         6564.691644 	     2.3773183872e+05
         6564.623647 	     2.4810960339e+05
         6564.555651 	     2.5943022669e+05
         6564.487657 	     2.7188113792e+05
         6564.419664 	     2.8570515996e+05
         6564.351673 	     3.0121807696e+05
         6564.283683 	     3.1883164578e+05
         6564.215694 	     3.3908356104e+05
         6564.147707 	     3.6267646633e+05
         6564.079721 	     3.9052857455e+05
         6564.011737 	     4.2383893382e+05
         6563.943754 	     4.6417156115e+05
         6563.875772 	     5.1356284941e+05
         6563.807792 	     5.7465847776e+05
         6563.739813 	     6.5088540790e+05
         6563.671836 	     7.4666719083e+05
         6563.603860 	     8.6768924159e+05
         6563.535886 	     1.0212215195e+06
         6563.467912 	     1.2165046932e+06
         6563.399941 	     1.4652037869e+06
         6563.331970 	     1.7819218013e+06
         6563.264002 	     2.1847799269e+06
         6563.196034 	     2.6960345300e+06
         6563.128068 	     3.3427127408e+06
         6563.060103 	     4.1572283638e+06
         6562.992140 	     5.1779380279e+06
         6562.924178 	     6.4495936980e+06
         6562.856218 	     8.0236750280e+06
         6562.788259 	     9.9586618233e+06
         6562.720301 	     1.2320508785e+07
         6562.652345 	     1.5184034772e+07
         6562.584390 	     1.8636899483e+07
         6562.516437 	     2.2789484426e+07
         6562.448485 	     2.7796528867e+07
         6562.380534 	     3.3894885762e+07
         6562.312585 	     4.1449766544e+07
         6562.244637 	     5.0935214882e+07
         6562.176691 	     6.2617962516e+07
         6562.108746 	     7.5643043718e+07
         6562.040802 	     8.7312153041e+07
         6561.972860 	     9.5348560990e+07
         6561.904919 	     1.0081490410e+08
         6561.836980 	     1.0522149422e+08
         6561.769042 	     1.0885770396e+08
         6561.701105 	     1.1179861889e+08
         6561.633170 	     1.1416759555e+08
         6561.565237 	     1.1611039432e+08
         6561.497304 	     1.1776015837e+08
         6561.429373 	     1.1921994832e+08
         6561.361444 	     1.2055714814e+08
         6561.293516 	     1.2180354614e+08
         6561.225589 	     1.2295721630e+08
         6561.157664 	     1.2398431865e+08
         6561.089740 	     1.2482015093e+08
         6561.021818 	     1.2536951423e+08
         6560.953897 	     1.2550704331e+08
         6560.885977 	     1.2507885175e+08
         6560.818059 	     1.2390788465e+08
         6560.750142 	     1.2180674045e+08
         6560.682226 	     1.1860293650e+08
         6560.614312 	     1.1417896810e+08
         6560.546400 	     1.0852880978e+08
         6560.478489 	     1.0180729187e+08
         6560.410579 	     9.4208827717e+07
         6560.342670 	     8.4869909668e+07
         6560.274763 	     7.0903435036e+07
         6560.206858 	     5.3367161185e+07
         6560.138954 	     3.7510675228e+07
         6560.071051 	     2.5944022407e+07
         6560.003149 	     1.8219771682e+07
         6559.935249 	     1.3109536019e+07
         6559.867351 	     9.6414019759e+06
         6559.799454 	     7.2121216618e+06
         6559.731558 	     5.4678750243e+06
         6559.663664 	     4.1958172512e+06
         6559.595771 	     3.2600167666e+06
         6559.527879 	     2.5682285549e+06
         6559.459989 	     2.0550466907e+06
         6559.392100 	     1.6729413626e+06
         6559.324213 	     1.3870050801e+06
         6559.256327 	     1.1715397782e+06
         6559.188443 	     1.0076591768e+06
         6559.120559 	     8.8153104853e+05
         6559.052678 	     7.8306467052e+05
         6558.984798 	     7.0492558059e+05
         6558.916919 	     6.4179958906e+05
         6558.849041 	     5.8984528490e+05
         6558.781165 	     5.4628720863e+05
         6558.713290 	     5.0911809521e+05
         6558.645417 	     4.7688440870e+05
         6558.577545 	     4.4852828318e+05
         6558.509675 	     4.2327446329e+05
         6558.441806 	     4.0054949738e+05
         6558.373938 	     3.7992402498e+05
         6558.306072 	     3.6107200590e+05
         6558.238207 	     3.4374171902e+05
         6558.170344 	     3.2773530094e+05
         6558.102482 	     3.1289434469e+05
         6558.034621 	     2.9908968259e+05
         6557.966762 	     2.8621410937e+05
         6557.898904 	     2.7417720228e+05
         6557.831048 	     2.6290159443e+05
         6557.763193 	     2.5232024275e+05
         6557.695339 	     2.4237444349e+05
         6557.627487 	     2.3301235087e+05
         6557.559636 	     2.2418780800e+05
         6557.491787 	     2.1585950226e+05
